Symbol,Name,Price,% Change,Market Cap,Volume,Circulating Supply
FLZ-USD,Fellaz,2.7737,+7.31%,1.309B,7.246M,471.875M
ALGO-USD,Algorand,0.149218,+2.02%,1.221B,26.907M,8.182B
PYTH-USD,Pyth Network,0.333113,+3.87%,1.208B,48.65M,3.625B
JUP29210-USD,Jupiter,0.877557,+3.93%,1.185B,100.161M,1.35B
CORE23254-USD,Core,1.3127,-0.76%,1.176B,45.141M,896.08M
TIA22861-USD,Celestia,5.8179,+0.43%,1.133B,49.167M,194.742M
CHEEL-USD,Cheelee,20.62,+0.48%,1.11B,6.655M,53.838M
SEI-USD,Sei,0.3372,+1.05%,1.028B,54.526M,3.05B
RSETH-USD,Kelp DAO Restaked ETH,3452.21,-1.22%,1.016B,8.605M,294404
FLR-USD,Flare,0.023521,-1.50%,1.008B,8.434M,42.855B
ENS-USD,Ethereum Name Service,30.94,-2.21%,978.947M,151.678M,31.637M
QNT-USD,Quant,80.53,+1.11%,972.183M,11.204M,12.073M
KCS-USD,KuCoin Token,9.9699,+0.04%,952.526M,744133,95.54M
FLOW-USD,Flow,0.622933,+0.79%,941.738M,25.036M,1.512B
AKT-USD,Akash Network,3.7534,+2.59%,910.934M,55.634M,242.695M
STRK22691-USD,Starknet,0.629689,-3.11%,919.434M,53.349M,1.46B
WBNB-USD,Wrapped BNB,578.19,-0.11%,915.188M,85.698M,1.583M
BEAM28298-USD,Beam,0.018293,+8.25%,904.863M,44.259M,49.466B
AXS-USD,Axie Infinity,5.9601,+0.95%,878.997M,26.319M,147.481M
GALA-USD,Gala,0.027377,+1.60%,877.898M,78.452M,32.067B
BSV-USD,Bitcoin SV,44.48,+0.57%,877.332M,26.351M,19.723M
EOS-USD,EOS,0.58348,+1.42%,874.766M,62.233M,1.499B
EGLD-USD,MultiversX,32.04,+3.66%,869.56M,44.25M,27.136M
VBNB-USD,Venus BNB,14.1,+0.25%,868.393M,868.479M,61.571M
BTT-USD,BitTorrent(New),8.6e-07,-0.72%,837.448M,15.402M,968.246T
MSOL-USD,Marinade Staked SOL,184.21,+5.06%,837.158M,4.031M,4.545M
NEO-USD,Neo,11.5,+0.92%,811.134M,22.34M,70.539M
ORDI-USD,ORDI,38.33,+1.75%,804.863M,84.846M,21M
DYDX-USD,dYdX (Native),1.3544,+1.78%,803.876M,15.91M,593.526M
XTZ-USD,Tezos,0.800104,+1.76%,790.18M,15.988M,987.596M
ENA-USD,Ethena,0.496171,-1.48%,754.335M,50.93M,1.52B
SAND-USD,The Sandbox,0.328854,+0.33%,750.192M,51.655M,2.281B
GNO-USD,Gnosis,284.42,-1.01%,736.519M,9.347M,2.59M
USDD-USD,USDD,0.999551,-0.03%,736.566M,3.912M,736.896M
USDCE-USD,USD Coin Bridged,0.999934,-0.01%,726.334M,75.938M,726.382M
GT-USD,GateToken,7.7898,-0.05%,725.251M,1.739M,93.102M
CFX-USD,Conflux,0.173638,+2.14%,719.193M,28.208M,4.142B
OM-USD,MANTRA,0.830248,+0.67%,689.655M,16.183M,830.662M
RON14101-USD,Ronin,2.0455,-0.08%,684.311M,7.477M,334.538M
ROSE-USD,Oasis,0.101704,+4.21%,682.8M,16.518M,6.714B
NEXO-USD,Nexo,1.2047,-0.58%,674.643M,3.947M,560M
FTN-USD,Fasttoken,2.2102,+0.01%,673.786M,23.344M,304.85M
CHZ-USD,Chiliz,0.075746,+1.39%,673.252M,44.122M,8.888B
ZK24091-USD,zkSync,0.181559,-1.11%,667.229M,153.342M,3.675B
BOME-USD,BOOK OF MEME,0.009542,-2.63%,658.079M,122.398M,68.966B
MANA-USD,Decentraland,0.343837,+1.20%,656.152M,35.109M,1.908B
W-USD,Wormhole,0.362867,-3.59%,653.16M,54.543M,1.8B
SNX-USD,Synthetix,1.9824,-0.29%,649.765M,13.725M,327.769M
FRAX-USD,Frax,0.996823,-0.01%,647.371M,20.376M,649.434M
PENDLE-USD,Pendle,4.121,-16.93%,639.194M,92.447M,155.108M
XEC-USD,eCash,3.2e-05,-0.26%,626.325M,5.267M,19.724T
AIOZ-USD,AIOZ Network,0.558541,-1.71%,617.003M,7.549M,1.105B
CBETH-USD,Coinbase Wrapped Staked ETH,3672.51,-0.75%,614.445M,2.174M,167309
POPCAT28782-USD,Popcat (SOL),0.626991,+6.75%,614.435M,65.426M,979.973M
MINA-USD,Mina,0.543507,+0.26%,612.606M,16.276M,1.127B
DEXE-USD,DeXe,10.66,-6.03%,608.68M,9.886M,57.103M
SAFE21585-USD,Safe,1.4246,+0.66%,608.05M,12.776M,426.815M
WLD-USD,Worldcoin,2.2855,-0.82%,594.015M,169.984M,259.902M
HNT-USD,Helium,3.6811,+5.52%,592.201M,10.924M,160.875M
SWETH-USD,swETH,3627.39,-0.34%,589.024M,3.052M,162382
DOG30933-USD,Dog (Runes),0.005875,-5.25%,587.493M,18.489M,100B
MOG-USD,Mog Coin,1.62e-06,-8.07%,582.251M,33.804M,360.448T
KLAY-USD,Klaytn,0.156895,-0.70%,580.527M,7.575M,3.7B
XAUT-USD,Tether Gold,2334.81,+0.05%,575.586M,2.33M,246524
SFRXETH-USD,Frax Staked Ether,3720.97,-1.79%,572.489M,706853,153854
IOTA-USD,IOTA,0.171402,+1.73%,569.944M,6.307M,3.325B
CAKE-USD,PancakeSwap,2.1218,+0.90%,566.966M,15.789M,267.215M
APE18876-USD,ApeCoin,0.92948,-0.17%,562.239M,39.044M,604.896M
LPT-USD,Livepeer,16.36,-0.64%,541.467M,19.321M,33.102M
WEMIX-USD,WEMIX,1.2921,-2.62%,526.34M,11.934M,407.367M
RAY-USD,Raydium,1.972,+8.00%,518.524M,35.561M,262.942M
CKB-USD,Nervos Network,0.01149,-3.44%,511.089M,12.277M,44.481B
TFUEL-USD,Theta Fuel,0.07674,-1.14%,506.539M,2.586M,6.601B
1INCH-USD,1inch Network,0.398058,+1.86%,498.649M,18.911M,1.253B
TUSD-USD,TrueUSD,0.99718,-0.11%,493.805M,35.433M,495.201M
KAVA-USD,Kava,0.431382,-1.31%,467.125M,8.843M,1.083B
FTT-USD,FTX Token,1.4102,+1.34%,463.82M,13.022M,328.895M
TWT-USD,Trust Wallet Token,1.0988,+3.99%,457.823M,18.791M,416.65M
